,Datetime,Tweet Id,Text,Username
28,2023-02-23 10:48:22+00:00,1628708336916140032,"Bagaimana kondisi terbaru situasi operasi militer Rusia di Ukraina?

Simak berita soal setahun invasi Rusia ke Ukraina selengkapnya di??https://t.co/9TkBfLAvd1",temponewsroom
29,2023-02-23 10:48:21+00:00,1628708332893786113,"Invasi Rusia ke Ukraina memasuki tahun kedua bulan ini.

Korban tewas dan cedera dari kedua pihak mencapai ratusan ribu orang.

Setelah berlangsung hampir setahun, belum ada tanda-tanda perang ini akan berhenti.

#MajalahTempo https://t.co/qUqnW2QlVf",temponewsroom
30,2023-02-23 10:30:54+00:00,1628703943156170753,"Meski tidak secara lugas, Presiden Rusia Vladimir Putin seolah memberikan gambaran tentang babak baru dari invasi Rusia ke Ukraina.",GatraMediaGroup
31,2023-02-23 10:30:52+00:00,1628703935556096000,"Setahun invasi Rusia ke Ukraina, tak ada tanda akan berakhir. Memicu polarisasi geopolitik dunia. Perang bisa terus meluas hinna ke penggunaan senjata nuklir. 

#MajalahGatra #BacaGATRABaruBicara #GatraMediaGroup #Rusia #Ukraina https://t.co/QmantsNACy",GatraMediaGroup
32,2023-02-23 07:55:35+00:00,1628664854612709382,Rusia Tuding Ukraina Berencana Invasi Wilayah Moldova Pro-Moskow https://t.co/v72GCbIZpY,CNNIndonesia
33,2023-02-23 07:17:01+00:00,1628655148485722117,Rusia Berdagang Senjata di Pameran Abu Dhabi di tengah Invasi ke Ukraina &gt;&gt; https://t.co/cWqQFGAoi9 https://t.co/v8JYGlKYjU,idenesiaid
34,2023-02-23 07:14:38+00:00,1628654551690801157,Suasana Kota-kota di Ukraina Jelang 1 Tahun Invasi Rusia https://t.co/CfrRDuNNRW #TempoFoto,tempodotco
35,2023-02-23 07:00:05+00:00,1628650890700947456,"Invasi Rusia ke Ukraina Bakal Masuki Setahun, Sekjen PBB Mengutuk sebagai Penghinaan Hati Nurani https://t.co/Uw4iUtcBQg",KompasTV
36,2023-02-23 06:42:07+00:00,1628646367735451650,"Jelang Setahun Invasi Rusia ke Ukraina, Putin Tangguhkan Perjanjian Nuklir New START https://t.co/5XpwFq8vTu #TempoGrafis",tempodotco
37,2023-02-23 06:12:22+00:00,1628638880659570688,Sekjen PBB Antonio Guterres: Invasi Rusia ke Ukraina Melanggar Hukum Internasional https://t.co/F8mJiTcN43,rmol_id
